Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Home Alone,1990,103,Comedy,7.6,Chris Columbus,Macaulay Culkin,488817,285761243.0,63.0
Jojo Rabbit,2019,108,Comedy,7.9,Taika Waititi,Roman Griffin Davis,297918,349555.0,58.0
Sweet Smell of Success,1957,96,Drama,8.0,Alexander Mackendrick,Burt Lancaster,28137,490441324.0,100.0
Gully Boy,2019,154,Drama,8.0,Zoya Akhtar,Vijay Varma,31886,5566534.0,65.0
Being John Malkovich,1999,113,Comedy,7.7,Spike Jonze,John Cusack,312542,22858926.0,90.0
The Incredibles,2004,115,Animation,8.0,Brad Bird,Craig T. Nelson,657047,261441092.0,90.0
God's Own Country,2017,104,Drama,7.7,Francis Lee,Josh O'Connor,25198,335609.0,85.0
Blue Velvet,1986,120,Drama,7.7,David Lynch,Isabella Rossellini,181285,8551228.0,76.0
Thor: Ragnarok,2017,130,Action,7.9,Taika Waititi,Chris Hemsworth,587775,315058289.0,74.0
The Hangover,2009,100,Comedy,7.7,Todd Phillips,Zach Galifianakis,717559,277322503.0,73.0
A Man for All Seasons,1966,120,Biography,7.7,Fred Zinnemann,Paul Scofield,31222,28350000.0,72.0
Airplane!,1980,88,Comedy,7.7,Jim Abrahams,David Zucker,214882,83400000.0,78.0
La La Land,2016,128,Comedy,8.0,Damien Chazelle,Ryan Gosling,505918,151101803.0,94.0
Incredibles 2,2018,118,Animation,7.6,Brad Bird,Craig T. Nelson,250057,608581744.0,80.0
The Sandlot,1993,101,Comedy,7.8,David Mickey Evans,Tom Guiry,78963,32416586.0,55.0
L.A. Confidential,1997,138,Crime,8.2,Curtis Hanson,Kevin Spacey,531967,64616940.0,90.0
Gone with the Wind,1939,238,Drama,8.1,Victor Fleming,George Cukor,290074,198676459.0,97.0
Manhattan,1979,96,Comedy,7.9,Woody Allen,Woody Allen,131436,45700000.0,83.0
Baby Driver,2017,113,Action,7.6,Edgar Wright,Ansel Elgort,439406,107825862.0,86.0
A Clockwork Orange,1971,136,Crime,8.3,Stanley Kubrick,Malcolm McDowell,757904,6207725.0,77.0
Fa yeung nin wah,2000,98,Drama,8.1,Kar-Wai Wong,Tony Chiu-Wai Leung,124383,2734044.0,85.0
What's Eating Gilbert Grape,1993,118,Drama,7.8,Lasse Hallström,Johnny Depp,215034,9170214.0,73.0
All That Jazz,1979,123,Drama,7.9,Bob Fosse,Roy Scheider,28223,37823676.0,72.0
Sabrina,1954,113,Comedy,7.7,Billy Wilder,Humphrey Bogart,59415,199534614.0,72.0
Gegen die Wand,2004,121,Drama,7.9,Fatih Akin,Birol Ünel,51325,213063755.0,78.0
The Bourne Supremacy,2004,108,Action,7.7,Paul Greengrass,Matt Damon,434841,176241941.0,73.0
The Wolf of Wall Street,2013,180,Biography,8.2,Martin Scorsese,Leonardo DiCaprio,1187498,116900694.0,75.0
Braveheart,1995,178,Biography,8.3,Mel Gibson,Mel Gibson,959181,75600000.0,68.0
Uri: The Surgical Strike,2018,138,Action,8.2,Aditya Dhar,Vicky Kaushal,43444,4186168.0,
Double Indemnity,1944,107,Crime,8.3,Billy Wilder,Fred MacMurray,143525,5720000.0,95.0
"Crna macka, beli macor",1998,127,Comedy,8.1,Emir Kusturica,Bajram Severdzan,50862,348660.0,73.0
Rain Man,1988,133,Drama,8.0,Barry Levinson,Dustin Hoffman,473064,178800000.0,65.0
The Innocents,1961,100,Horror,7.8,Jack Clayton,Deborah Kerr,27007,2616000.0,88.0
The Treasure of the Sierra Madre,1948,126,Adventure,8.2,John Huston,Humphrey Bogart,114304,5014000.0,98.0
The Matrix,1999,136,Action,8.7,Lana Wachowski,Lilly Wachowski,1676426,171479930.0,73.0
Remember the Titans,2000,113,Biography,7.8,Boaz Yakin,Denzel Washington,198089,115654751.0,48.0
Nelyubov,2017,127,Drama,7.6,Andrey Zvyagintsev,Maryana Spivak,29765,566356.0,86.0
Scarface: The Shame of the Nation,1932,93,Action,7.8,Howard Hawks,Richard Rosson,25312,82900837.0,87.0
Fargo,1996,98,Crime,8.1,Joel Coen,Ethan Coen,617444,24611975.0,85.0
The Grapes of Wrath,1940,129,Drama,8.0,John Ford,Henry Fonda,85559,55000.0,96.0
My Cousin Vinny,1992,120,Comedy,7.6,Jonathan Lynn,Joe Pesci,107325,52929168.0,68.0
Le samouraï,1967,105,Crime,8.1,Jean-Pierre Melville,Alain Delon,45434,39481.0,
La Vie En Rose,2007,140,Biography,7.6,Olivier Dahan,Marion Cotillard,82781,10301706.0,66.0
The Secret of Kells,2009,71,Animation,7.6,Tomm Moore,Nora Twomey,31779,686383.0,81.0
North by Northwest,1959,136,Adventure,8.3,Alfred Hitchcock,Cary Grant,299198,13275000.0,98.0
Sense and Sensibility,1995,136,Drama,7.6,Ang Lee,Emma Thompson,102598,43182776.0,84.0
Prisoners,2013,153,Crime,8.1,Denis Villeneuve,Hugh Jackman,601149,61002302.0,70.0
The Killing,1956,84,Crime,8.0,Stanley Kubrick,Sterling Hayden,81702,309154156.0,91.0
Manbiki kazoku,2018,121,Crime,7.9,Hirokazu Koreeda,Lily Franky,62754,3313513.0,93.0
Donnie Darko,2001,113,Drama,8.0,Richard Kelly,Jake Gyllenhaal,740086,1480006.0,88.0
"I, Daniel Blake",2016,100,Drama,7.9,Ken Loach,Laura Obiols,53818,258168.0,78.0
Dark City,1998,100,Mystery,7.6,Alex Proyas,Rufus Sewell,187927,14378331.0,66.0
In Bruges,2008,107,Comedy,7.9,Martin McDonagh,Colin Farrell,390334,7757130.0,67.0
American Psycho,2000,101,Comedy,7.6,Mary Harron,Christian Bale,490062,15070285.0,64.0
Rang De Basanti,2006,167,Comedy,8.2,Rakeysh Omprakash Mehra,Aamir Khan,111937,2197331.0,
Le notti di Cabiria,1957,110,Drama,8.1,Federico Fellini,Giulietta Masina,42940,752045.0,
Vampire Hunter D: Bloodlust,2000,103,Animation,7.7,Yoshiaki Kawajiri,Andrew Philpot,29210,151086.0,62.0
Avatar,2009,162,Action,7.8,James Cameron,Sam Worthington,1118998,760507625.0,83.0
A Beautiful Mind,2001,135,Biography,8.2,Ron Howard,Russell Crowe,848920,170742341.0,72.0
The Last of the Mohicans,1992,112,Action,7.7,Michael Mann,Daniel Day-Lewis,150409,75505856.0,76.0
Dog Day Afternoon,1975,125,Biography,8.0,Sidney Lumet,Al Pacino,235652,50000000.0,86.0
Terminator 2: Judgment Day,1991,137,Action,8.5,James Cameron,Arnold Schwarzenegger,995506,204843350.0,75.0
Love and Death,1975,85,Comedy,7.7,Woody Allen,Woody Allen,36037,745173387.0,89.0
Fear and Loathing in Las Vegas,1998,118,Adventure,7.6,Terry Gilliam,Johnny Depp,259753,10680275.0,41.0
Kung fu,2004,99,Action,7.7,Stephen Chow,Stephen Chow,127250,17108591.0,78.0
Cidade de Deus,2002,130,Crime,8.6,Fernando Meirelles,Kátia Lund,699256,7563397.0,79.0
The Revenant,2015,156,Action,8.0,Alejandro G. Iñárritu,Leonardo DiCaprio,705589,183637894.0,76.0
Central do Brasil,1998,110,Drama,8.0,Walter Salles,Fernanda Montenegro,36419,5595428.0,80.0
28 Days Later...,2002,113,Drama,7.6,Danny Boyle,Cillian Murphy,376853,45064915.0,73.0
Tangled,2010,100,Animation,7.7,Nathan Greno,Byron Howard,405922,200821936.0,71.0
Inside Out,2015,95,Animation,8.1,Pete Docter,Ronnie Del Carmen,616228,356461711.0,94.0
Zindagi Na Milegi Dobara,2011,155,Comedy,8.1,Zoya Akhtar,Hrithik Roshan,67927,3108485.0,
Das Cabinet des Dr. Caligari,1920,76,Fantasy,8.1,Robert Wiene,Werner Krauss,57428,337574718.0,
Das Experiment,2001,120,Drama,7.7,Oliver Hirschbiegel,Moritz Bleibtreu,90842,141072.0,60.0
Reservoir Dogs,1992,99,Crime,8.3,Quentin Tarantino,Harvey Keitel,918562,2832029.0,79.0
Cast Away,2000,143,Adventure,7.8,Robert Zemeckis,Tom Hanks,524235,233632142.0,73.0
WALL·E,2008,98,Animation,8.4,Andrew Stanton,Ben Burtt,999790,223808164.0,95.0
The Remains of the Day,1993,134,Drama,7.8,James Ivory,Anthony Hopkins,66065,22954968.0,84.0
Catch Me If You Can,2002,141,Biography,8.1,Steven Spielberg,Leonardo DiCaprio,832846,164615351.0,75.0
M - Eine Stadt sucht einen Mörder,1931,117,Crime,8.3,Fritz Lang,Peter Lorre,143434,28877.0,
La double vie de Véronique,1991,98,Drama,7.8,Krzysztof Kieslowski,Irène Jacob,42376,1999955.0,86.0
Straight Outta Compton,2015,147,Biography,7.8,F. Gary Gray,O'Shea Jackson Jr.,179264,161197785.0,72.0
The Fugitive,1993,130,Action,7.8,Andrew Davis,Harrison Ford,267684,183875760.0,87.0
The Killing Fields,1984,141,Biography,7.8,Roland Joffé,Sam Waterston,51585,34700291.0,76.0
A Hard Day's Night,1964,87,Comedy,7.6,Richard Lester,John Lennon,40351,13780024.0,96.0
Amadeus,1984,160,Biography,8.3,Milos Forman,F. Murray Abraham,369007,51973029.0,88.0
The Dark Knight,2008,152,Action,9.0,Christopher Nolan,Christian Bale,2303232,534858444.0,84.0
Rosemary's Baby,1968,137,Drama,8.0,Roman Polanski,Mia Farrow,193674,287621537.0,96.0
Bringing Up Baby,1938,102,Comedy,7.8,Howard Hawks,Katharine Hepburn,55163,152238346.0,91.0
The Thin Man,1934,91,Comedy,8.0,W.S. Van Dyke,William Powell,26642,40687532.0,86.0
The Artist,2011,100,Comedy,7.9,Michel Hazanavicius,Jean Dujardin,230624,44671682.0,89.0
The Elephant Man,1980,124,Biography,8.1,David Lynch,Anthony Hopkins,220078,753585104.0,78.0
Gilda,1946,110,Drama,7.7,Charles Vidor,Rita Hayworth,27991,532234536.0,
Roma,2018,135,Drama,7.7,Alfonso Cuarón,Yalitza Aparicio,140375,557873261.0,96.0
X-Men: Days of Future Past,2014,132,Action,7.9,Bryan Singer,Patrick Stewart,659763,233921534.0,75.0
Fight Club,1999,139,Drama,8.8,David Fincher,Brad Pitt,1854740,37030102.0,66.0
Scarface,1983,170,Crime,8.3,Brian De Palma,Al Pacino,740911,45598982.0,65.0
M.S. Dhoni: The Untold Story,2016,184,Biography,7.8,Neeraj Pandey,Sushant Singh Rajput,40416,1782795.0,
Soul,2020,100,Animation,8.1,Pete Docter,Kemp Powers,159171,321826155.0,83.0
Beasts of No Nation,2015,137,Drama,7.7,Cary Joji Fukunaga,Abraham Attah,73964,83861.0,79.0
Dirty Harry,1971,102,Action,7.7,Don Siegel,Clint Eastwood,143292,35900000.0,90.0
The Prestige,2006,130,Drama,8.5,Christopher Nolan,Christian Bale,1190259,53089891.0,66.0
Edward Scissorhands,1990,105,Drama,7.9,Tim Burton,Johnny Depp,447368,56362352.0,74.0
Bhaag Milkha Bhaag,2013,186,Biography,8.2,Rakeysh Omprakash Mehra,Farhan Akhtar,61137,1626289.0,
Million Dollar Baby,2004,132,Drama,8.1,Clint Eastwood,Hilary Swank,635975,100492203.0,86.0
The Circus,1928,72,Comedy,8.1,Charles Chaplin,Charles Chaplin,30205,259701815.0,90.0
Miracle on 34th Street,1947,96,Comedy,7.9,George Seaton,Edmund Gwenn,41625,2650000.0,88.0
Raazi,2018,138,Action,7.8,Meghna Gulzar,Alia Bhatt,25344,896910257.0,
Persona,1966,85,Drama,8.1,Ingmar Bergman,Bibi Andersson,103191,464738597.0,86.0
Lola rennt,1998,81,Crime,7.6,Tom Tykwer,Franka Potente,188317,7267585.0,77.0
Kimi no na wa.,2016,106,Animation,8.4,Makoto Shinkai,Ryûnosuke Kamiki,194838,5017246.0,79.0
Ben-Hur,1959,212,Adventure,8.1,William Wyler,Charlton Heston,219466,74700000.0,90.0
Zerkalo,1975,107,Biography,8.1,Andrei Tarkovsky,Margarita Terekhova,40081,177345.0,
Saw,2004,103,Horror,7.6,James Wan,Cary Elwes,379020,56000369.0,46.0
Ford v Ferrari,2019,152,Action,8.1,James Mangold,Matt Damon,291289,117624028.0,81.0
Funny Games,1997,108,Crime,7.6,Michael Haneke,Susanne Lothar,65058,217345863.0,69.0
Les choristes,2004,97,Drama,7.9,Christophe Barratier,Gérard Jugnot,57430,3635164.0,56.0
The Departed,2006,151,Crime,8.5,Martin Scorsese,Leonardo DiCaprio,1189773,132384315.0,85.0
The Purple Rose of Cairo,1985,82,Comedy,7.7,Woody Allen,Mia Farrow,47102,10631333.0,75.0
Boyhood,2014,165,Drama,7.9,Richard Linklater,Ellar Coltrane,335533,25379975.0,100.0
Kaguyahime no monogatari,2013,137,Animation,8.0,Isao Takahata,Chloë Grace Moretz,38746,1506975.0,89.0
The World's Fastest Indian,2005,127,Biography,7.8,Roger Donaldson,Anthony Hopkins,51980,5128124.0,68.0
Leviafan,2014,140,Crime,7.6,Andrey Zvyagintsev,Aleksey Serebryakov,49397,1092800.0,92.0
Invasion of the Body Snatchers,1956,80,Drama,7.7,Don Siegel,Kevin McCarthy,44839,244000775.0,92.0
The King's Speech,2010,118,Biography,8.0,Tom Hooper,Colin Firth,639603,138797449.0,88.0
Hera Pheri,2000,156,Action,8.2,Priyadarshan,Akshay Kumar,57057,177903165.0,
Before Sunset,2004,80,Drama,8.1,Richard Linklater,Ethan Hawke,236311,5820649.0,90.0
Gangs of Wasseypur,2012,321,Action,8.2,Anurag Kashyap,Manoj Bajpayee,82365,5257741.0,89.0
Who's Afraid of Virginia Woolf?,1966,131,Drama,8.0,Mike Nichols,Elizabeth Taylor,68926,839059631.0,75.0
What Ever Happened to Baby Jane?,1962,134,Drama,8.1,Robert Aldrich,Bette Davis,50058,4050000.0,75.0
Mary Poppins,1964,139,Comedy,7.8,Robert Stevenson,Julie Andrews,158029,102272727.0,88.0
El secreto de sus ojos,2009,129,Drama,8.2,Juan José Campanella,Ricardo Darín,193217,6391436.0,80.0
Beauty and the Beast,1991,84,Animation,8.0,Gary Trousdale,Kirk Wise,417178,218967620.0,95.0
Pink Floyd: The Wall,1982,95,Drama,8.1,Alan Parker,Bob Geldof,76081,22244207.0,47.0
Special Chabbis,2013,144,Crime,8.0,Neeraj Pandey,Akshay Kumar,51069,1079369.0,
Majo no takkyûbin,1989,103,Animation,7.8,Hayao Miyazaki,Kirsten Dunst,124193,58564351.0,83.0
Midnight in Paris,2011,96,Comedy,7.7,Woody Allen,Owen Wilson,388089,56816662.0,81.0
Shichinin no samurai,1954,207,Action,8.6,Akira Kurosawa,Toshirô Mifune,315744,269061.0,98.0
Låt den rätte komma in,2008,114,Crime,7.9,Tomas Alfredson,Kåre Hedebrant,205609,2122065.0,82.0
The Right Stuff,1983,193,Adventure,7.8,Philip Kaufman,Sam Shepard,56235,21500000.0,91.0
Mulholland Dr.,2001,147,Drama,7.9,David Lynch,Naomi Watts,322031,7220243.0,85.0
Red River,1948,133,Action,7.8,Howard Hawks,Arthur Rosson,28167,116161549.0,
White Heat,1949,114,Action,8.1,Raoul Walsh,James Cagney,29807,323145090.0,
Bohemian Rhapsody,2018,134,Biography,8.0,Bryan Singer,Rami Malek,450349,216428042.0,49.0
Sing Street,2016,106,Comedy,7.9,John Carney,Ferdia Walsh-Peelo,85109,3237118.0,79.0
The Last Picture Show,1971,118,Drama,8.0,Peter Bogdanovich,Timothy Bottoms,42456,29133000.0,93.0
Smultronstället,1957,91,Drama,8.2,Ingmar Bergman,Victor Sjöström,96381,144259257.0,88.0
The Dark Knight Rises,2012,164,Action,8.4,Christopher Nolan,Christian Bale,1516346,448139099.0,78.0
Control,2007,122,Biography,7.7,Anton Corbijn,Sam Riley,61609,871577.0,78.0
Ed Wood,1994,127,Biography,7.8,Tim Burton,Johnny Depp,164937,5887457.0,70.0
The Green Mile,1999,189,Crime,8.6,Frank Darabont,Tom Hanks,1147794,136801374.0,61.0
Into the Wild,2007,148,Adventure,8.1,Sean Penn,Emile Hirsch,572921,18354356.0,73.0
Once Upon a Time in the West,1968,165,Western,8.5,Sergio Leone,Henry Fonda,302844,5321508.0,80.0
Delicatessen,1991,99,Comedy,7.6,Marc Caro,Jean-Pierre Jeunet,80487,1794187.0,66.0
Kurenai no buta,1992,94,Animation,7.7,Hayao Miyazaki,Shûichirô Moriyama,77798,871544815.0,83.0
La vie d'Adèle,2013,180,Drama,7.7,Abdellatif Kechiche,Léa Seydoux,138741,2199675.0,89.0
Loving Vincent,2017,94,Animation,7.8,Dorota Kobiela,Hugh Welchman,50778,6735118.0,62.0
Casino Royale,2006,144,Action,8.0,Martin Campbell,Daniel Craig,582239,167445960.0,80.0
Le scaphandre et le papillon,2007,112,Biography,8.0,Julian Schnabel,Laura Obiols,103284,5990075.0,92.0
Big Hero 6,2014,102,Animation,7.8,Don Hall,Chris Williams,410983,222527828.0,74.0
Pulp Fiction,1994,154,Crime,8.9,Quentin Tarantino,John Travolta,1826188,107928762.0,94.0
Trainspotting,1996,93,Drama,8.1,Danny Boyle,Ewan McGregor,634716,16501785.0,83.0
Key Largo,1948,100,Action,7.8,John Huston,Humphrey Bogart,36995,55936517.0,
The Bridges of Madison County,1995,135,Drama,7.6,Clint Eastwood,Clint Eastwood,73172,71516617.0,69.0
Birdman or (The Unexpected Virtue of Ignorance),2014,119,Comedy,7.7,Alejandro G. Iñárritu,Michael Keaton,580291,42340598.0,87.0
Badhaai ho,2018,124,Comedy,8.0,Amit Ravindernath Sharma,Ayushmann Khurrana,27978,28738362.0,
Gran Torino,2008,116,Drama,8.1,Clint Eastwood,Clint Eastwood,720450,148095302.0,72.0
Taare Zameen Par,2007,165,Drama,8.4,Aamir Khan,Amole Gupte,168895,1223869.0,
Lifeboat,1944,97,Drama,7.6,Alfred Hitchcock,Tallulah Bankhead,26471,852142728.0,78.0
The Manchurian Candidate,1962,126,Drama,7.9,John Frankenheimer,Frank Sinatra,71122,238786038.0,94.0
Before Midnight,2013,109,Drama,7.9,Richard Linklater,Ethan Hawke,141457,8114627.0,94.0
Cool Hand Luke,1967,127,Crime,8.1,Stuart Rosenberg,Paul Newman,161984,16217773.0,92.0
Bãhubali: The Beginning,2015,159,Action,8.0,S.S. Rajamouli,Prabhas,102972,6738000.0,
Relatos salvajes,2014,122,Comedy,8.1,Damián Szifron,Darío Grandinetti,177059,3107072.0,77.0
Dazed and Confused,1993,102,Comedy,7.6,Richard Linklater,Jason London,165465,7993039.0,78.0
Trois couleurs: Bleu,1993,94,Drama,7.9,Krzysztof Kieslowski,Juliette Binoche,89836,1324974.0,85.0
Fantastic Mr. Fox,2009,87,Animation,7.9,Wes Anderson,George Clooney,199696,21002919.0,83.0
Le passé,2013,130,Drama,7.8,Asghar Farhadi,Bérénice Bejo,45002,1330596.0,85.0
Room,2015,118,Drama,8.1,Lenny Abrahamson,Brie Larson,371538,14677674.0,86.0
The Godfather: Part III,1990,162,Crime,7.6,Francis Ford Coppola,Al Pacino,359809,66666062.0,60.0
Moneyball,2011,133,Biography,7.6,Bennett Miller,Brad Pitt,369529,75605492.0,87.0
"Monsters, Inc.",2001,92,Animation,8.1,Pete Docter,David Silverman,815505,289916256.0,79.0
Warrior,2011,140,Action,8.2,Gavin O'Connor,Tom Hardy,435950,13657115.0,71.0
Dà hóng denglong gaogao guà,1991,125,Drama,8.1,Yimou Zhang,Gong Li,29662,2603061.0,
Klaus,2019,96,Animation,8.2,Sergio Pablos,Carlos Martínez López,104761,148596026.0,65.0
Toy Story 2,1999,92,Animation,7.9,John Lasseter,Ash Brannon,527512,245852179.0,88.0
Back to the Future Part II,1989,108,Adventure,7.8,Robert Zemeckis,Michael J. Fox,481918,118500000.0,57.0
Kôkaku Kidôtai,1995,83,Animation,8.0,Mamoru Oshii,Atsuko Tanaka,129231,515905.0,76.0
Blade Runner,1982,117,Action,8.1,Ridley Scott,Harrison Ford,693827,32868943.0,84.0
Ray,2004,152,Biography,7.7,Taylor Hackford,Jamie Foxx,138356,75331600.0,73.0
Star Trek,2009,127,Action,7.9,J.J. Abrams,Chris Pine,577336,257730019.0,82.0
Ba wang bie ji,1993,171,Drama,8.1,Kaige Chen,Leslie Cheung,25088,5216888.0,
A Bronx Tale,1993,121,Crime,7.8,Robert De Niro,Robert De Niro,128171,17266971.0,80.0
High Noon,1952,85,Drama,7.9,Fred Zinnemann,Gary Cooper,97222,9450000.0,89.0
Waking Life,2001,99,Animation,7.8,Richard Linklater,Ethan Hawke,60684,2892011.0,83.0
Ace in the Hole,1951,111,Drama,8.1,Billy Wilder,Kirk Douglas,31568,3969893.0,72.0
Drishyam,2015,163,Crime,8.2,Nishikant Kamat,Ajay Devgn,70367,739478.0,
Gravity,2013,91,Drama,7.7,Alfonso Cuarón,Sandra Bullock,769145,274092705.0,96.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,Action,8.0,José Padilha,Wagner Moura,79200,100119.0,71.0
Wonder,2017,113,Drama,8.0,Stephen Chbosky,Jacob Tremblay,141923,132422809.0,66.0
Harry Potter and the Sorcerer's Stone,2001,152,Adventure,7.6,Chris Columbus,Daniel Radcliffe,658185,317575550.0,64.0
Der Himmel über Berlin,1987,128,Drama,8.0,Wim Wenders,Bruno Ganz,64722,3333969.0,79.0
Sen to Chihiro no kamikakushi,2001,125,Animation,8.6,Hayao Miyazaki,Daveigh Chase,651376,10055859.0,96.0
The Wild Bunch,1969,145,Action,7.9,Sam Peckinpah,William Holden,77401,12064472.0,97.0
Adams æbler,2005,94,Comedy,7.8,Anders Thomas Jensen,Ulrich Thomsen,45717,1305.0,51.0
The Grand Budapest Hotel,2014,99,Adventure,8.1,Wes Anderson,Ralph Fiennes,707630,59100318.0,88.0
Her,2013,126,Drama,8.0,Spike Jonze,Joaquin Phoenix,540772,25568251.0,90.0
Some Like It Hot,1959,121,Comedy,8.2,Billy Wilder,Marilyn Monroe,243943,25000000.0,98.0
Avengers: Endgame,2019,181,Action,8.4,Anthony Russo,Joe Russo,809955,858373000.0,78.0
The Big Short,2015,130,Biography,7.8,Adam McKay,Christian Bale,362942,70259870.0,81.0
Kill Bill: Vol. 1,2003,111,Action,8.1,Quentin Tarantino,Uma Thurman,1000639,70099045.0,69.0
Nuovo Cinema Paradiso,1988,155,Drama,8.5,Giuseppe Tornatore,Philippe Noiret,230763,11990401.0,80.0
Barton Fink,1991,116,Comedy,7.7,Joel Coen,Ethan Coen,113240,6153939.0,69.0
Primal Fear,1996,129,Crime,7.7,Gregory Hoblit,Richard Gere,189716,56116183.0,47.0
Se7en,1995,127,Crime,8.6,David Fincher,Morgan Freeman,1445096,100125643.0,65.0
Tengoku to jigoku,1963,143,Crime,8.4,Akira Kurosawa,Toshirô Mifune,34357,620361655.0,
A Night at the Opera,1935,96,Comedy,7.9,Sam Wood,Edmund Goulding,30580,2537520.0,
The Shop Around the Corner,1940,99,Comedy,8.1,Ernst Lubitsch,Margaret Sullavan,28450,203300.0,96.0
The Dirty Dozen,1967,150,Action,7.7,Robert Aldrich,Lee Marvin,67183,45300000.0,73.0
Short Cuts,1993,188,Comedy,7.7,Robert Altman,Andie MacDowell,42275,6110979.0,79.0
True Grit,2010,110,Drama,7.6,Ethan Coen,Joel Coen,311822,171243005.0,80.0
Office Space,1999,89,Comedy,7.7,Mike Judge,Ron Livingston,241575,10824921.0,68.0
